% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.026	1	1	3	7	1	0	85
0.027	1	1	3	8	1	0	85
0.313	1	1	32	4	1	2	137
0.028	1	1	3	9	1	0	85
0.314	1	1	32	5	1	2	137
0.029	1	1	3	10	1	0	85
0.03	1	1	4	1	1	0	85
0.031	1	1	4	2	1	0	85
0.032	1	1	4	3	1	0	85
0.033	1	1	4	4	1	0	85
0.315	1	1	32	6	1	2	137
0.034	1	1	4	5	1	0	85
0.316	1	1	32	7	1	2	137
0.035	1	1	4	6	1	0	85
0.036	1	1	4	7	1	0	85
0.037	1	1	4	8	1	0	85
0.038	1	1	4	9	1	0	85
0.039	1	1	4	10	1	0	85
0.317	1	1	32	8	1	2	137
0.04	1	1	5	1	1	0	85
0.318	1	1	32	9	1	2	137
0.041	1	1	5	2	1	0	85
0.319	1	1	32	10	1	2	137
0.042	1	1	5	3	1	0	85
0.32	1	1	33	1	1	2	137
0.043	1	1	5	4	1	0	85
0.044	1	1	5	5	1	0	85
0.045	1	1	5	6	1	0	85
0.046	1	1	5	7	1	0	85
0.321	1	1	33	2	1	2	137
0.047	1	1	5	8	1	0	85
0.048	1	1	5	9	1	0	85
0.322	1	1	33	3	1	2	137
0.049	1	1	5	10	1	0	85
0.323	1	1	33	4	1	2	137
0.05	1	1	6	1	1	0	85
0.051	1	1	6	2	1	0	85
0.052	1	1	6	3	1	0	85
0.053	1	1	6	4	1	0	85
0.054	1	1	6	5	1	0	85
0.324	1	1	33	5	1	2	137
0.055	1	1	6	6	1	0	85
0.325	1	1	33	6	1	2	137
0.056	1	1	6	7	1	0	85
0.326	1	1	33	7	1	2	137
0.057	1	1	6	8	1	0	85
0.058	1	1	6	9	1	0	85
0.059	1	1	6	10	1	0	85
0.327	1	1	33	8	1	2	137
0.06	1	1	7	1	1	0	85
0.328	1	1	33	9	1	2	137
0.329	1	1	33	10	1	2	137
0.33	1	1	34	1	1	2	137
0.331	1	1	34	2	1	2	137
0.332	1	1	34	3	1	2	137
0.333	1	1	34	4	1	2	137
0.334	1	1	34	5	1	2	137
0.335	1	1	34	6	1	2	137
0.336	1	1	34	7	1	2	137
0.337	1	1	34	8	1	2	137
0.338	1	1	34	9	1	2	137
0.339	1	1	34	10	1	2	137
0.34	1	1	35	1	1	2	137
0.341	1	1	35	2	1	2	137
0.342	1	1	35	3	1	2	137
0.343	1	1	35	4	1	2	137
0.344	1	1	35	5	1	2	137
0.345	1	1	35	6	1	2	137
0.346	1	1	35	7	1	2	137
0.347	1	1	35	8	1	2	137
0.348	1	1	35	9	1	2	137
0.349	1	1	35	10	1	2	137
0.35	1	1	36	1	1	2	137
0.351	1	1	36	2	1	2	137
0.352	1	1	36	3	1	2	137
0.353	1	1	36	4	1	2	137
0.354	1	1	36	5	1	2	137
0.355	1	1	36	6	1	2	137
0.356	1	1	36	7	1	2	137
